2025-12-5, 02:34:00.000000, 25723.75, 25723.75, 25721.00, 25721.50, 41, 39, 25722.50, 25722.08, 25722.38, 21, 20, 25683.34, 0.00
2025-12-5, 02:35:00.000000, 25721.25, 25722.25, 25721.00, 25721.75, 10, 10, 25721.56, 25721.67, 25721.63, 6, 4, 25683.35, 0.00
2025-12-5, 02:36:00.000000, 25721.00, 25728.25, 25720.50, 25725.25, 221, 205, 25723.75, 25724.67, 25724.38, 74, 147, 25683.70, 0.00
2025-12-5, 02:37:00.000000, 25724.75, 25726.75, 25724.75, 25726.25, 23, 22, 25725.63, 25725.92, 25725.75, 8, 15, 25683.74, 0.00
2025-12-5, 02:38:00.000000, 25726.50, 25727.50, 25724.50, 25724.75, 31, 29, 25725.81, 25725.58, 25726.00, 14, 17, 25683.79, 0.00
2025-12-5, 02:39:00.000000, 25724.00, 25725.50, 25721.25, 25723.25, 101, 74, 25723.50, 25723.33, 25723.38, 39, 62, 25683.93, 0.00
2025-12-5, 02:40:00.000000, 25724.00, 25724.00, 25715.50, 25717.25, 135, 109, 25720.19, 25718.92, 25719.75, 80, 55, 25684.11, 0.00
2025-12-5, 02:41:00.000000, 25717.25, 25720.75, 25716.50, 25720.25, 55, 54, 25718.69, 25719.17, 25718.63, 34, 21, 25684.18, 0.00
2025-12-5, 02:42:00.000000, 25720.00, 25720.25, 25716.75, 25719.75, 48, 37, 25719.19, 25718.92, 25718.50, 26, 22, 25684.24, 0.00
2025-12-5, 02:43:00.000000, 25719.75, 25720.00, 25718.25, 25719.00, 14, 13, 25719.25, 25719.08, 25719.13, 4, 10, 25684.26, 0.00
2025-12-5, 02:44:00.000000, 25718.25, 25719.75, 25717.00, 25718.50, 59, 56, 25718.38, 25718.42, 25718.38, 31, 28, 25684.33, 0.00
2025-12-5, 02:45:00.000000, 25718.25, 25721.25, 25718.00, 25721.25, 31, 30, 25719.69, 25720.17, 25719.63, 8, 23, 25684.37, 0.00
2025-12-5, 02:46:00.000000, 25720.75, 25721.75, 25716.75, 25717.00, 41, 37, 25719.06, 25718.50, 25719.25, 31, 10, 25684.43, 0.00
